1.5m humi,1.5m temp,5cm earth,radio,all_product
85,25.8,26.4,13.91,4826.2
81,28.1,28.8,24.31,90
91,28.2,30,19.79,1460.35
84,28,30.3,21.24,302.6
77,28.7,31.8,27.41,110
85,27.6,29.2,28.59,34177.4
,,,,117
81,27.1,28.7,21.19,6964.9
79,28.7,29.1,22.95,19
90,28.9,30.4,22.75,1269
84,28.2,30.1,28.63,3647.9
82,26.4,28.5,24.35,1911
93,27.2,30.3,18.5,1297.6
76,28.5,29.3,,760
75,28.6,31.9,23.48,110
73,29.6,30.9,30.28,50707
81,28.4,30.8,18.71,340
77,28.1,29.6,23.58,5917.4
70,30.4,,0,116
87,28.9,30.1,19.36,957.2
68,29.7,29.7,,982
83,25.4,29.9,13.36,10
68,28.6,30.8,26.72,49089.6
73,28.1,29.7,23.37,6008.4
82,28.2,30.9,21.25,230
84,28.6,29.9,19.05,1027.5
85,27.3,30.9,23.51,332
99,23.4,26.7,4.74,47602.9
89,23.8,25.8,4.34,5269
90,28.7,30.4,21.51,861.5
80,28.1,29.5,,38
83,27.5,30.7,15.88,284.5
91,26,27.8,20.87,36667.8
83,25.9,27,18.35,3615.2
91,28.1,30.4,15.82,1222.8
79,28.4,30.1,,28
84,27.2,30.7,25.62,30
88,27.2,29.3,25.08,28356.1
82,26.6,28.3,19.17,3862.6
84,27.4,30.5,17.01,179
78,28,28.7,15.17,13
82,29.9,31.7,24.11,1042.85
68,30.5,30.2,,43
72,28.6,30.8,25.09,252.6
77,28.4,29.6,26.33,42638
76,27.7,28.3,20.23,4684.3
75,30.5,32,23.82,621
99,24.9,27.3,6.37,47504.6
93,24.7,25.9,4.12,3656
85,28,27.2,7.88,40
93,28.1,30.2,10.72,821
77,28.1,31.1,18.67,185
84,28.4,29.3,19.16,194.8
83,28.1,29.1,27.18,38710.8
81,27.5,28,18.62,2150.5
84,29.5,31.3,22.58,533
86,29,30.1,23.34,264.2
79,27.7,29.4,25.58,35653.4
75,27.4,28.6,20.65,2828.5
80,29.9,31.3,17.69,684
87,27.1,29.8,15.22,238.3
97,23.5,27,4.58,36074.9
88,23.3,25.2,3.2,2291.5
89,25.7,28.8,,12
95,26.1,29.6,10.06,279.5
89,25.3,28.8,12.6,382.4
,,,20.02,110
94,24.3,26.3,13.46,31952.2
82,24.5,25.4,12.72,2412.9
85,25.8,28.5,,29
76,25.7,,0,40
94,26.1,29.6,15.36,427.25
88,24.3,26.6,18.01,23807.3
73,24.1,25.4,15.89,2961.4
85,26,28.7,22.21,233.5
89,26,29,18.18,1001.65
83,24,28.4,22.05,350
81,23.9,26.3,26.95,27705.2
79,23.7,25.9,22.27,4917.6
85,25,29,22.98,955.85
77,25.2,27.2,29.77,28238.2
78,26.6,27.9,,20
72,25.2,27.1,24.32,5169.8
84,25.6,28.5,14.05,349
83,27.3,29.5,20.29,1034.5
79,25.7,29.6,18.17,30
91,23.6,26.5,14.74,24542.6
87,23.2,26,7.21,4953.6
91,25.9,28.8,10.81,175.5
89,27.1,30.1,15.84,852.85
87,26.2,28.5,16.28,100
88,24.8,28.6,11.59,120
78,24.6,27.5,28.08,22470.5
81,23.4,26.5,21.46,4440.9
79,25.3,28,,28
90,25.7,29.5,17.09,866.5
79,23.4,27.9,17.9,180
78,23.2,27,23.71,16912.3
80,21.9,26.1,19.02,5417.4
85,24.2,27.9,15.94,155
88,24.4,28.4,15.54,807.5
86,22.3,27,15.48,211
87,21.3,25.3,16.41,20706.2
79,21.6,24.8,15.48,6114.8
86,22.1,25.7,,56
88,22.7,26.8,11.43,519.5
81,22.9,27,23.9,41550.4
82,23,26.3,20.68,5340.9
76,24.2,26.5,,52
82,25.2,27.6,22.91,1037.75
96,22.9,26.4,4.59,321.6
86,23.7,27,19.82,29421.9
87,23.3,26.4,,24
80,23.5,26.4,15.49,4840.8
93,23.2,24.5,2.6,130
98,22.7,27.2,6.5,1051.25
84,24.4,27,,34
90,23.9,26.4,9.97,359
83,24.4,27.3,20.91,28084.7
78,23.5,26.7,18.98,5202.7
,,,,415.35
92,21.9,25.4,,46
96,20.4,24.6,12.32,25101.1
85,20.9,23.7,12.06,3186.4
95,22,25.7,5.96,183.5
93,23.6,26.8,11.86,871
85,21.9,25.7,21.47,205
79,21.7,26,23.55,40
80,21.5,24.7,24.32,26804.5
79,20,23.3,17.75,2241.8
86,22.8,26.6,21.22,1048
87,21.2,25.3,19.15,93.9
82,21.2,25.1,26.21,27997.3
79,20.4,23.4,20.34,4472.2
82,21.1,24.8,,4
85,22.7,26.1,18.37,1124.85
81,20.8,24.7,23.4,34212.3
79,20.9,23.5,20,2492
75,24.3,24.5,13.63,8
80,22.6,24.7,,16
96,22.1,26.3,7.66,604.3
88,21.2,24.5,13.13,30579.2
74,22.3,24,15.37,2657.4
82,23.8,24.3,13.73,16
85,23.3,24.8,,36
100,22.8,25.9,6.03,576.1
90,24,25,,13.5
